name,type,value,date
Wii Sports,Nintendo,82.74,2006
Super Mario Bros.,Nintendo,40.24,1985
Mario Kart Wii,Nintendo,35.82,2008
Wii Sports Resort,Nintendo,33,2009
Pokemon Red/Pokemon Blue,Nintendo,31.37,1996
Tetris,Nintendo,30.26,1989
New Super Mario Bros.,Nintendo,30.01,2006
Wii Play,Nintendo,29.02,2006
New Super Mario Bros. Wii,Nintendo,28.62,2009
Duck Hunt,Nintendo,28.31,1984
Nintendogs,Nintendo,24.76,2005
Mario Kart DS,Nintendo,23.42,2005
Pokemon Gold/Pokemon Silver,Nintendo,23.1,1999
Wii Fit,Nintendo,22.72,2007
Wii Fit Plus,Nintendo,22,2009
Kinect Adventures!,Microsoft Game Studios,21.82,2010
Grand Theft Auto V,Take-Two Interactive,21.4,2013
Grand Theft Auto: San Andreas,Take-Two Interactive,20.81,2004
Super Mario World,Nintendo,20.61,1990
Brain Age: Train Your Brain in Minutes a Day,Nintendo,20.22,2005
Pokemon Diamond/Pokemon Pearl,Nintendo,18.36,2006
Super Mario Land,Nintendo,18.14,1989
Super Mario Bros. 3,Nintendo,17.28,1988
Grand Theft Auto V,Take-Two Interactive,16.38,2013
Grand Theft Auto: Vice City,Take-Two Interactive,16.15,2002
Pokemon Ruby/Pokemon Sapphire,Nintendo,15.85,2002
Pokemon Black/Pokemon White,Nintendo,15.32,2010
Brain Age 2: More Training in Minutes a Day,Nintendo,15.3,2005
Gran Turismo 3: A-Spec,Sony Computer Entertainment,14.98,2001
Call of Duty: Modern Warfare 3,Activision,14.76,2011
Pokémon Yellow: Special Pikachu Edition,Nintendo,14.64,1998
Call of Duty: Black Ops,Activision,14.64,2010
Pokemon X/Pokemon Y,Nintendo,14.35,2013
Call of Duty: Black Ops 3,Activision,14.24,2015
Call of Duty: Black Ops II,Activision,14.03,2012
Call of Duty: Black Ops II,Activision,13.73,2012
Call of Duty: Modern Warfare 2,Activision,13.51,2009
Call of Duty: Modern Warfare 3,Activision,13.46,2011
Grand Theft Auto III,Take-Two Interactive,13.1,2001
Super Smash Bros. Brawl,Nintendo,13.04,2008
Call of Duty: Black Ops,Activision,12.73,2010
Animal Crossing: Wild World,Nintendo,12.27,2005
Mario Kart 7,Nintendo,12.21,2011
Halo 3,Microsoft Game Studios,12.14,2007
Grand Theft Auto V,Take-Two Interactive,11.98,2014
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,11.9,2009
Super Mario 64,Nintendo,11.89,1996
Gran Turismo 4,Sony Computer Entertainment,11.66,2004
Super Mario Galaxy,Nintendo,11.52,2007
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,11.33,2014
Super Mario Land 2: 6 Golden Coins,Nintendo,11.18,1992
Grand Theft Auto IV,Take-Two Interactive,11.02,2008
Gran Turismo,Sony Computer Entertainment,10.95,1997
Super Mario 3D Land,Nintendo,10.79,2011
Gran Turismo 5,Sony Computer Entertainment,10.77,2010
Call of Duty: Modern Warfare 2,Activision,10.69,2009
Grand Theft Auto IV,Take-Two Interactive,10.57,2008
Super Mario All-Stars,Nintendo,10.55,1993
Pokemon FireRed/Pokemon LeafGreen,Nintendo,10.49,2004
Super Mario 64,Nintendo,10.42,2004
Just Dance 3,Ubisoft,10.26,2011
Call of Duty: Ghosts,Activision,10.21,2013
Halo: Reach,Microsoft Game Studios,9.88,2010
Mario Kart 64,Nintendo,9.87,1996
New Super Mario Bros. 2,Nintendo,9.82,2012
Halo 4,Microsoft Game Studios,9.76,2012
Final Fantasy VII,Sony Computer Entertainment,9.72,1997
Call of Duty: Ghosts,Activision,9.59,2013
Just Dance 2,Ubisoft,9.52,2010
Gran Turismo 2,Sony Computer Entertainment,9.49,1999
Call of Duty 4: Modern Warfare,Activision,9.32,2007
Donkey Kong Country,Nintendo,9.3,1994
Minecraft,Microsoft Game Studios,9.2,2013
Animal Crossing: New Leaf,Nintendo,9.09,2012
Mario Party DS,Nintendo,9.02,2007
The Elder Scrolls V: Skyrim,Bethesda Softworks,8.84,2011
Super Mario Kart,Nintendo,8.76,1992
FIFA 16,Electronic Arts,8.49,2015
Wii Party,Nintendo,8.49,2010
Halo 2,Microsoft Game Studios,8.49,2004
Mario Party 8,Nintendo,8.42,2007
Pokemon Black 2/Pokemon White 2,Nintendo,8.33,2012
FIFA Soccer 13,Electronic Arts,8.24,2012
The Sims 3,Electronic Arts,8.11,2009
GoldenEye 007,Nintendo,8.09,1997
Mario & Sonic at the Olympic Games,Sega,8.06,2007
Final Fantasy X,Sony Computer Entertainment,8.05,2001
Final Fantasy VIII,SquareSoft,7.86,1999
Pokémon Platinum Version,Nintendo,7.84,2008
Pac-Man,Atari,7.81,1982
Grand Theft Auto: Liberty City Stories,Take-Two Interactive,7.72,2005
Super Mario Galaxy 2,Nintendo,7.69,2010
Star Wars Battlefront (2015),Electronic Arts,7.67,2015
Call of Duty: Advanced Warfare,Activision,7.6,2014
The Legend of Zelda: Ocarina of Time,Nintendo,7.6,1998
Crash Bandicoot 2: Cortex Strikes Back,Sony Computer Entertainment,7.58,1997
Super Mario Bros. 2,Nintendo,7.46,1988
Super Smash Bros. for Wii U and 3DS,Nintendo,7.45,2014
Call of Duty: World at War,Activision,7.37,2008
Battlefield 3,Electronic Arts,7.34,2011
The Legend of Zelda: Twilight Princess,Nintendo,7.31,2006
Call of Duty: Black Ops 3,Activision,7.3,2015
Just Dance,Ubisoft,7.27,2009
Battlefield 3,Electronic Arts,7.23,2011
Need for Speed Underground,Electronic Arts,7.2,2003
Tekken 3,Sony Computer Entertainment,7.16,1998
Crash Bandicoot 3: Warped,Sony Computer Entertainment,7.13,1998
Super Smash Bros. Melee,Nintendo,7.07,2001
Mario Kart 8,Nintendo,6.96,2014
Fallout 4,Bethesda Softworks,6.96,2015
Mario Kart: Double Dash!!,Nintendo,6.95,2003
Just Dance 4,Ubisoft,6.91,2012
FIFA 14,Electronic Arts,6.9,2013
Need for Speed Underground 2,Electronic Arts,6.9,2004
Medal of Honor: Frontline,Electronic Arts,6.83,2002
Uncharted 3: Drake's Deception,Sony Computer Entertainment,6.83,2011
Crash Bandicoot,Sony Computer Entertainment,6.82,1996
Zumba Fitness,505 Games,6.81,2010
Gears of War 2,Microsoft Game Studios,6.76,2008
Uncharted 2: Among Thieves,Sony Computer Entertainment,6.73,2009
Call of Duty 4: Modern Warfare,Activision,6.72,2007
FIFA 12,Electronic Arts,6.69,2011
Big Brain Academy,Nintendo,6.67,2005
Red Dead Redemption,Take-Two Interactive,6.6,2010
FIFA 15,Electronic Arts,6.59,2014
Donkey Kong Country Returns,Nintendo,6.59,2010
The Elder Scrolls V: Skyrim,Bethesda Softworks,6.56,2011
The Legend of Zelda,Nintendo,6.51,1986
Assassin's Creed III,Ubisoft,6.5,2012
Halo: Combat Evolved,Microsoft Game Studios,6.43,2001
Pokémon Emerald Version,Nintendo,6.41,2004
Kingdom Hearts,Sony Computer Entertainment,6.4,2002
Pokémon Crystal Version,Nintendo,6.39,2000
Halo 3: ODST,Microsoft Game Studios,6.36,2009
Red Dead Redemption,Take-Two Interactive,6.34,2010
Super Mario Sunshine,Nintendo,6.31,2002
Street Fighter II: The World Warrior,Capcom,6.3,1992
World of Warcraft,Activision,6.28,2004
Driver,GT Interactive,6.27,1999
Kinect Sports,Microsoft Game Studios,6.24,2010
Gears of War 3,Microsoft Game Studios,6.24,2011
Gears of War,Microsoft Game Studios,6.11,2006
Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,6.05,2001
Sonic the Hedgehog 2,Sega,6.03,1992
Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,6.03,2008
Metal Gear Solid,Konami Digital Entertainment,6.03,1998
The Last of Us,Sony Computer Entertainment Europe,5.99,2013
Final Fantasy XII,Square Enix,5.95,2006
LittleBigPlanet,Sony Computer Entertainment,5.92,2008
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,5.84,2009
LEGO Star Wars: The Complete Saga,LucasArts,5.83,2007
Resident Evil 2,Virgin Interactive,5.82,1998
Tekken 2,Sony Computer Entertainment,5.74,1996
Cooking Mama,505 Games,5.72,2006
Destiny,Activision,5.65,2014
Tetris,Nintendo,5.58,1988
Assassin's Creed II,Ubisoft,5.57,2009
Super Smash Bros.,Nintendo,5.55,1999
Assassin's Creed,Ubisoft,5.55,2007
Batman: Arkham City,Warner Bros. Interactive Entertainment,5.53,2011
Forza Motorsport 3,Microsoft Game Studios,5.51,2009
Monster Hunter Freedom Unite,Capcom,5.5,2008
Super Mario Advance,Nintendo,5.49,2001
Mario Kart: Super Circuit,Nintendo,5.47,2001
Super Mario World,Nintendo,5.46,2001
Pokemon Stadium,Nintendo,5.45,1999
Call of Duty: World at War,Activision,5.43,2008
Crash Bandicoot: The Wrath of Cortex,Universal Interactive,5.42,2001
Minecraft,Sony Computer Entertainment,5.42,2014
Final Fantasy XIII,Square Enix,5.36,2009
Dr. Mario,Nintendo,5.34,1989
Pokemon Pinball,Nintendo,5.31,1999
Assassin's Creed III,Ubisoft,5.3,2012
Final Fantasy IX,SquareSoft,5.3,2000
Final Fantasy X-2,Electronic Arts,5.29,2003
Donkey Kong 64,Nintendo,5.27,1999
Assassin's Creed II,Ubisoft,5.27,2009
Professor Layton and the Curious Village,Nintendo,5.26,2007
Tomb Raider II,Eidos Interactive,5.24,1997
Madden NFL 2004,Electronic Arts,5.23,N/A
Dragon Quest VIII: Journey of the Cursed King,Square Enix,5.21,2004
Diablo III,Activision,5.2,2012
Super Mario Bros. 3,Nintendo,5.2,2003
New Super Mario Bros. U,Nintendo,5.19,2012
Super Mario Land 3: Wario Land,Nintendo,5.19,1994
FIFA Soccer 13,Electronic Arts,5.18,2012
The Legend of Zelda: Phantom Hourglass,Nintendo,5.17,2007
Donkey Kong Country 2: Diddy's Kong Quest,Nintendo,5.15,1995
Tomodachi Life,Nintendo,5.15,2013
Mario & Sonic at the Olympic Games,Sega,5.14,2008
Medal of Honor: Rising Sun,Electronic Arts,5.13,2003
Kirby's Dream Land,Nintendo,5.13,1992
Fable III,Microsoft Game Studios,5.13,2010
Call of Duty: Advanced Warfare,Activision,5.13,2014
Microsoft Flight Simulator,Microsoft Game Studios,5.12,1996
Guitar Hero II,RedOctane,5.12,2006
Resident Evil 5,Capcom,5.11,2009
Grand Theft Auto V,Take-Two Interactive,5.08,2014
Grand Theft Auto: Vice City Stories,Take-Two Interactive,5.08,2006
FIFA Soccer 11,Electronic Arts,5.08,2010
Super Mario Bros.,Nintendo,5.07,1999
Resident Evil,Virgin Interactive,5.05,1996
Tony Hawk's Pro Skater,Activision,5.02,1999
Super Smash Bros. for Wii U and 3DS,Nintendo,5.02,2014
Warzone 2100,Eidos Interactive,5.01,1999
Spyro the Dragon,Sony Computer Entertainment,5,1998
Link's Crossbow Training,Nintendo,5,2007
Guitar Hero III: Legends of Rock,Activision,4.98,2007
Fallout 3,Bethesda Softworks,4.96,2008
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Nintendo,4.96,2007
Uncharted: Drake's Fortune,Sony Computer Entertainment,4.94,2007
Madden NFL 06,Electronic Arts,4.91,2005
LEGO Star Wars: The Complete Saga,LucasArts,4.9,2007
Diddy Kong Racing,Nintendo,4.88,1997
Monster Hunter Freedom 3,Capcom,4.87,2010
Dr. Mario,Nintendo,4.85,1990
God of War III,Sony Computer Entertainment,4.84,2010
StarCraft II: Wings of Liberty,Activision,4.83,2010
Assassin's Creed,Ubisoft,4.83,2007
FIFA 15,Electronic Arts,4.82,2014
Crash Team Racing,Sony Computer Entertainment,4.79,1999
FIFA 17,Electronic Arts,4.77,2016
Batman: Arkham City,Warner Bros. Interactive Entertainment,4.76,2011
Driver 2,Atari,4.73,2000
The Simpsons: Hit & Run,Vivendi Games,4.7,2003
Tony Hawk's Pro Skater 2,Activision,4.68,2000
Animal Crossing: City Folk,Nintendo,4.68,2008
The Lord of the Rings: The Two Towers,Electronic Arts,4.67,2002
Forza Motorsport 4,Microsoft Game Studios,4.64,2011
Tomb Raider,Eidos Interactive,4.63,1996
Guitar Hero III: Legends of Rock,Activision,4.62,2007
The Legend of Zelda: A Link to the Past,Nintendo,4.61,1991
The Legend of Zelda: The Wind Waker,Nintendo,4.6,2002
Mario & Sonic at the Olympic Winter Games,Sega,4.58,2009
Luigi's Mansion: Dark Moon,Nintendo,4.58,2013
Splatoon,Nintendo,4.57,2015
The Last of Us,Sony Computer Entertainment,4.55,2014
Guitar Hero III: Legends of Rock,Activision,4.53,2007
Madden NFL 2005,Electronic Arts,4.53,2004
Pitfall!,Activision,4.5,1981
Madden NFL 07,Electronic Arts,4.49,2006
Spider-Man: The Movie,Activision,4.48,2002
Dragon Quest VII: Warriors of Eden,Enix Corporation,4.47,2000
Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,4.47,2015
Call of Duty: Advanced Warfare,Activision,4.45,2014
God of War,Sony Computer Entertainment,4.45,2005
Nintendo Land,Nintendo,4.44,2012
Michael Jackson: The Experience,Ubisoft,4.42,2010
Tony Hawk's Pro Skater 3,Activision,4.41,2001
Winning Eleven: Pro Evolution Soccer 2007,Konami Digital Entertainment,4.39,2006
The Elder Scrolls IV: Oblivion,Take-Two Interactive,4.39,2006
Zelda II: The Adventure of Link,Nintendo,4.38,1987
Need for Speed: Most Wanted,Electronic Arts,4.37,2005
Resistance: Fall of Man,Sony Computer Entertainment,4.35,2006
Sonic the Hedgehog,Sega,4.34,1991
Kingdom Hearts II,Square Enix,4.33,2005
FIFA 14,Electronic Arts,4.31,2013
Call of Duty: Advanced Warfare,Activision,4.31,2014
Asteroids,Atari,4.31,1980
Fable II,Microsoft Game Studios,4.31,2008
Halo 5: Guardians,Microsoft Game Studios,4.26,2015
Super Mario 3D World,Nintendo,4.25,2013
Batman: Arkham Asylum,Eidos Interactive,4.25,2009
Assassin's Creed: Revelations,Ubisoft,4.24,2011
Namco Museum,Namco Bandai Games,4.24,2001
Metal Gear Solid 3: Snake Eater,Konami Digital Entertainment,4.23,2004
Daxter,Sony Computer Entertainment,4.22,2006
Warcraft II: Tides of Darkness,Activision,4.21,1995
The Legend of Zelda: Ocarina of Time,Nintendo,4.21,2011
FIFA Soccer 06,Electronic Arts,4.21,2005
EyeToy Play,Sony Computer Entertainment,4.2,2003
Uncharted 4: A Thief's End,Sony Computer Entertainment,4.2,2016
Gran Turismo 5 Prologue,Sony Computer Entertainment,4.2,2007
Assassin's Creed: Revelations,Ubisoft,4.19,2011
Street Fighter IV,Capcom,4.19,2009
FIFA 12,Electronic Arts,4.19,2011
Teenage Mutant Ninja Turtles,Palcom,4.17,1989
Excitebike,Nintendo,4.16,1984
Frogger,Hasbro Interactive,4.16,1997
Madden NFL 2003,Electronic Arts,4.14,2002
Watch Dogs,Ubisoft,4.14,2014
Half-Life,Vivendi Games,4.12,1997
Super Mario World 2: Yoshi's Island,Nintendo,4.12,1995
FIFA Soccer 07,Electronic Arts,4.11,2006
The Legend of Zelda: Skyward Sword,Nintendo,4.1,2011
Street Fighter II Turbo,Capcom,4.1,1992
Carnival Games,Take-Two Interactive,4.1,2007
Fallout 4,Bethesda Softworks,4.09,2015
World of Warcraft: The Burning Crusade,Activision,4.09,2007
Fallout: New Vegas,Bethesda Softworks,4.08,2010
God of War II,Sony Computer Entertainment,4.07,2007
Forza Motorsport 2,Microsoft Game Studios,4.06,2007
World Soccer Winning Eleven 9,Konami Digital Entertainment,4.06,2005
Namco Museum Vol.3,Sony Computer Entertainment,4.05,1996
Tekken Tag Tournament,Namco Bandai Games,4.05,2000
Far Cry 4,Ubisoft,4.03,2014
Star Fox 64,Nintendo,4.03,1997
Minecraft,Sony Computer Entertainment Europe,4.02,2014
Golf,Nintendo,4.01,1984
Fallout 3,Bethesda Softworks,4.01,2008
Professor Layton and the Diabolical Box,Nintendo,4,2007
Left 4 Dead 2,Electronic Arts,3.99,2009
